Title,Main Price,Current Price,Store
"Turbo-X LED TV TXV-E3250D 32"" HD Ready",951.0,95.0,PLAISIO
"Samsung QLED 4K TV QE65Q70R 65"" 4Κ Ultra HD",1799.0,1199.0,PLAISIO
"Turbo-X LED TV TXV-S3250SMT 32"" HD Ready",169.0,149.0,PLAISIO
"Turbo-X LED TV TXV-S3950SMT 39"" HD Ready",229.0,189.0,PLAISIO
"Turbo-X ANDROID TV TXV-AU4375 43"" 4Κ Ultra HD",259.0,259.0,PLAISIO
"Turbo-X LED TV TXV-E4355 43"" Full HD",169.0,169.0,PLAISIO
"Turbo-X LED TV TXV-S4350SMT 43"" Full HD",259.0,229.0,PLAISIO
"LG LED TV 43UM7450 43"" 4Κ Ultra HD",699.0,349.0,PLAISIO
"Turbo-X LED TV TXV-P5060SMT 50"" 4Κ Ultra HD",289.0,279.0,PLAISIO
"Turbo-X LED TV TXV-E2464 24"" HD Ready",791.0,79.0,PLAISIO
"Samsung LED TV 43TU7072 43"" 4Κ Ultra HD",499.0,369.0,PLAISIO
"Turbo-X LED TV TXV-E3294 32"" HD Ready",139.0,119.0,PLAISIO
"Turbo-X Android TV TXV-AU5075 50"" 4Κ Ultra HD",299.0,299.0,PLAISIO
"Sony Full Array TV 55XF9005 55"" 4Κ Ultra HD",139.0,742.0,PLAISIO
"Turbo-X Android TV TXV-A6575 65"" 4Κ Ultra HD",529.0,489.0,PLAISIO
"Turbo-X LED TV TXV-P5560SMT 55"" 4Κ Ultra HD",289.0,289.0,PLAISIO
"Turbo-X Android TV TXV-AU5080SMT 50"" 4Κ Ultra HD",319.0,319.0,PLAISIO
"Turbo-X Android TV TXV-AU5580SMT 55"" 4Κ Ultra HD",369.0,369.0,PLAISIO
"Sony LED TV KD49XG8096 49"" 4Κ Ultra HD",999.0,579.0,PLAISIO
"LG LED TV 70UM7100 70"" 4Κ Ultra HD",999.0,699.0,PLAISIO
"Samsung LED TV 55TU7072 55"" 4Κ Ultra HD",649.0,479.0,PLAISIO
"Samsung LED TV 65TU7072 65"" 4Κ Ultra HD",899.0,699.0,PLAISIO
"Samsung QLED TV QE 55Q80T 55"" 4Κ Ultra HD",1799.0,1199.0,PLAISIO
"Samsung LED TV UE32T4302 32"" HD Ready",279.0,229.0,PLAISIO
"LG NanoCell TV 75SM9000 75"" 4Κ Ultra HD",4169.0,2099.0,PLAISIO
"Samsung QLED TV QE 55Q60T 55"" 4Κ Ultra HD",119.0,799.0,PLAISIO
"LG TV Monitor 24"" 24TL510S-PZ",159.0,139.0,PLAISIO
"LG LED TV 65UM7450 65"" 4Κ Ultra HD",129.0,649.0,PLAISIO
"LG TV Monitor 28"" 28TL510S",199.0,159.0,PLAISIO
"Samsung QLED TV QE 50Q60T 50"" 4Κ Ultra HD",999.0,699.0,PLAISIO
"LG OLED TV OLED55B9S 55"" 4Κ Ultra HD",1699.0,1359.0,PLAISIO
"Sony LED TV KD55XG8096B 55"" 4Κ Ultra HD",999.0,649.0,PLAISIO
"LG OLED TV OLED65CX6 65"" 4Κ Ultra HD",3199.0,2559.0,PLAISIO
"Samsung QLED TV QE 55Q70T 55"" 4Κ Ultra HD",139.0,999.0,PLAISIO
"Samsung LED TV UE32T5302 32"" Full HD",329.0,299.0,PLAISIO
